Age,Level_1,Level_2,Level_3
17,17-21,17-26,*
18,17-21,17-26,*
19,17-21,17-26,*
20,17-21,17-26,*
21,17-21,17-26,*
22,22-26,17-26,*
23,22-26,17-26,*
24,22-26,17-26,*
25,22-26,17-26,*
26,22-26,17-26,*
27,27-31,27-36,*
28,27-31,27-36,*
29,27-31,27-36,*
30,27-31,27-36,*
31,27-31,27-36,*
32,32-36,27-36,*
33,32-36,27-36,*
34,32-36,27-36,*
35,32-36,27-36,*
36,32-36,27-36,*
37,37-41,37-46,*
38,37-41,37-46,*
39,37-41,37-46,*
40,37-41,37-46,*
41,37-41,37-46,*
42,42-46,37-46,*
43,42-46,37-46,*
44,42-46,37-46,*
45,42-46,37-46,*
46,42-46,37-46,*
47,47-51,47-56,*
48,47-51,47-56,*
49,47-51,47-56,*
50,47-51,47-56,*
51,47-51,47-56,*
52,52-56,47-56,*
53,52-56,47-56,*
54,52-56,47-56,*
55,52-56,47-56,*
56,52-56,47-56,*
57,57-61,57-66,*
58,57-61,57-66,*
59,57-61,57-66,*
60,57-61,57-66,*
61,57-61,57-66,*
62,62-66,57-66,*
63,62-66,57-66,*
64,62-66,57-66,*
65,62-66,57-66,*
66,62-66,57-66,*
67,67-71,67-76,*
68,67-71,67-76,*
69,67-71,67-76,*
70,67-71,67-76,*
71,67-71,67-76,*
72,72-76,67-76,*
73,72-76,67-76,*
74,72-76,67-76,*
75,72-76,67-76,*
76,72-76,67-76,*
77,77-81,77-86,*
78,77-81,77-86,*
79,77-81,77-86,*
80,77-81,77-86,*
81,77-81,77-86,*
82,82-86,77-86,*
83,82-86,77-86,*
84,82-86,77-86,*
85,82-86,77-86,*
86,82-86,77-86,*
87,87-91,87-96,*
88,87-91,87-96,*
89,87-91,87-96,*
90,87-91,87-96,*
